placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,sunday,monday,tuesday,wednesday,thursday,friday,saturday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp
https://www.google.com/maps/place/NLB+Banka/data=!4m7!3m6!1s0x135592173e3ead0f:0xb4fe2adf2530cc53!8m2!3d41.9151488!4d22.4119718!16s%2Fg%2F1tsq81yz!19sChIJD60-PheSVRMRU8wwJd8q_rQ,NLB Banka,4.0,,Bank,,"Trgovski centar 17 A, Kocani 2300, North Macedonia","WC86+3Q Kočani, North Macedonia",http://www.nlb.mk/,+389 33 276 910,Closed,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,9a.m.–1p.m.,Closed today,https://lh5.googleusercontent.com/p/AF1QipPwemZmiBl7s613Kdg5b0CQqF88y13amnrfbIGK=w408-h306-k-no,true,41.91518749999999,22.411937500000008,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:22.451Z
"https://www.google.com/maps/place/NLB+Banka+ATM/@41.9175125,22.4101285,17z/data=!3m1!4b1!4m6!3m5!1s0x135592173f1b19a3:0xbe087021d4d8bfaa!8m2!3d41.9175126!4d22.4101352!16s%2Fg%2F11f3jtlg82",NLB Banka ATM,,,ATM,,"5, Trgovski Centar, blok A, NLB, Ekspozitura Kocani, Kočani 2300, North Macedonia","WC96+23 Kočani, North Macedonia",http://nlb.mk/,+389 2 510 0555,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open now,,true,41.91756250000002,22.410187499999992,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:30.634Z
"https://www.google.com/maps/place/NLB+Banka+ATM/@41.9157668,22.4132154,17z/data=!3m1!4b1!4m6!3m5!1s0x135592111c6715c3:0xa87fa853fa3d0fd6!8m2!3d41.9157668!4d22.4132154!16s%2Fg%2F11gf5_hyns",NLB Banka ATM,,,ATM,,"29 Noemvri br. 9, Apteka Galenium, Kocani 2300, North Macedonia","WC87+87 Kočani, North Macedonia",http://nlb.mk/,+389 2 510 0555,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open now,,true,41.9158125,22.413187500000006,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:36.712Z
https://www.google.com/maps/place/NLB+Banka+ATM/data=!4m7!3m6!1s0x1355921680c9a1ab:0x89f47f980d7b1032!8m2!3d41.9146941!4d22.4083889!16s%2Fg%2F11gf5_f9nc!19sChIJq6HJgBaSVRMRMhB7DZh_9Ik,NLB Banka ATM,5.0,,ATM,,"Straso Pindzur br.5 Kocani, Kočani 2300, North Macedonia","WC75+V9 Kočani, North Macedonia",http://nlb.mk/,+389 2 510 0555,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open now,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rD2q_Q1ASngjp5yLpOupVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.54086&pitch=0&thumbfov=100,true,41.9146875,22.408437500000005,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:41.381Z
https://www.google.com/maps/place/NLB+Banka/data=!4m7!3m6!1s0x13558c68e136ac3b:0xd7b75d159812d7d8!8m2!3d41.882517!4d22.504882!16s%2Fg%2F11f3j7tq5d!19sChIJO6w24WiMVRMR2NcSmBVdt9c,NLB Banka,4.0,,Bank,,"Marshal Tito Nr. 8, Vinica 2310, North Macedonia","VGM3+2X Vinica, North Macedonia",http://www.nlb.mk/,+389 33 511 540,Closed,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipMQnfkyN1LHwGUQvTqFS1iUbIkzJGL6Si-ceRJM=w408-h276-k-no,true,41.88256249999999,22.504937499999997,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:45.844Z
https://www.google.com/maps/place/NLB+Banka/data=!4m7!3m6!1s0x1355dd282496f2f5:0x906eb4dd469f4970!8m2!3d41.737791!4d22.19135!16s%2Fg%2F11f3j7vj9v!19sChIJ9fKWJCjdVRMRcEmfRt20bpA,NLB Banka,5.0,,Bank,,"Vanco Prke bb, Shtip 2000, North Macedonia","P5QR+4G Shtip, North Macedonia",http://www.nlb.mk/,+389 32 387 920,Closed,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipMCrpLYXNP9CNyGZr63kdQiTE4qW7AdllcMWXVI=w408-h306-k-no,true,41.737812499999976,22.191312499999995,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:50.096Z
https://www.google.com/maps/place/NLB+Banka/data=!4m7!3m6!1s0x1355bc4607112f49:0x4755def2be65f894!8m2!3d41.9989435!4d22.1782831!16s%2Fg%2F11g02rpwm6!19sChIJSS8RB0a8VRMRlPhlvvLeVUc,NLB Banka,,,Bank,,"Jordan Stojanov Nr. 2, Probištip 2210, North Macedonia","X5XH+H8 Probištip, North Macedonia",http://www.nlb.mk/,+389 32 511 032,Closed,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipMXg7iTFRmIwgRn8-dtgeAXQIyJFyVmHYFpK2ue=w408-h306-k-no,true,41.9989375,22.17831250000002,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:56:54.639Z
"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@41.9897456,22.2373032,17z/data=!3m1!4b1!4m6!3m5!1s0x1355bd883409cc93:0x3901274797a2688b!8m2!3d41.9896877!4d22.2373974!16s%2Fg%2F11f3jtt740",NLB Banka АТМ,5.0,,ATM,,"Butik Fashion S, M. Tito br. 129, Zletovo 2212, North Macedonia","X6QP+VW Zletovo, North Macedonia",http://nlb.mk/,+389 2 510 0555,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open now,,true,41.98968749999999,22.237312499999987,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:57:00.974Z
"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@41.9987459,22.1782328,17z/data=!3m1!4b1!4m6!3m5!1s0x1355bc460434d1c9:0x54bb5988c766fc59!8m2!3d41.9987497!4d22.1782156!16s%2Fg%2F11gf5_pyh1",NLB Banka АТМ,,,ATM,,"Jordan Stojanov 2, Probištip 2210, North Macedonia","X5XH+F7 Probištip, North Macedonia",http://nlb.mk/,+389 2 510 0555,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open now,,true,41.9986875,22.17818750000002,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:57:07.211Z
https://www.google.com/maps/place/NLB+Banka/data=!4m7!3m6!1s0x1355fb13d20efe75:0xb4fcb05b4667a88b!8m2!3d41.6377301!4d22.46174!16s%2Fg%2F1vd393jd!19sChIJdf4O0hP7VRMRi6hnRluw_LQ,NLB Banka,3.9,,Bank,,"22 Oktomvri bb, Radovish 2420, North Macedonia","JFQ6+3M Radovish, North Macedonia",http://www.nlb.mk/,+389 32 633 771,Closed,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipPj3rrJYl-6aVMP-ON5jtZEdIORHFBSYPpU84_j=w426-h240-k-no,true,41.637687499999984,22.461687499999968,"https://www.google.com/maps/search/NLB+Banka/@41.9174195,22.4172139,15z/data=!3m1!4b1",2022-11-13T13:57:11.944Z
